,acronym
617,amc
618,act
619,cing
620,alv
621,df
622,fi
623,mct
624,fx
625,dhc
626,vhc
627,stc
628,mfb
629,sup
630,pm
631,mtt
632,mtg
633,mp
634,sm
635,fr
636,hbc
637,SEZ
638,chpl
639,V3
640,AQ
641,V4r
642,c
